,dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL,task_code,Timestamp,Participant Number (Experimenter Only),"Kind of Experiment  (SUI, LGP, etc.) (Experimenter Only)",Mental Demand ,Physical Demand ,Temporal Demand ,Performance,Effort,Frustration ,average
63,Assembly,S02,SUP_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.033195832,0.036514773,0.033195832,29.95702006,36.96032234,129,46.27785111,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
64,Assembly,S02,SUP_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.548961716,0.504658425,0.548961716,98.85796248,80.33560108,152,146.7054908,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
65,Assembly,S02,SUP_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.235980224,0.198819187,0.235980224,23.96556671,31.79263516,135,38.11736122,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
66,Assembly,S02,SUP_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.305873013,0.259128702,0.305873013,35.94835007,43.98823454,147,54.46517682,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
67,Assembly,S02,SUP_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.045083562,0.058137503,0.045083562,29.95695839,31.53075542,135,46.28163997,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
68,Assembly,S02,SUP_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.764184067,0.760224091,0.764184067,98.85755355,65.97128387,144,146.7855429,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
69,Assembly,S02,SUP_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.315377945,0.295590045,0.315377945,23.96546763,27.73779037,141,38.12247638,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
70,Assembly,S02,SUP_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.413687556,0.387471264,0.413687556,35.94820144,38.00637426,166,54.47579978,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
71,Assembly,S02,SUP_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.058815564,0.086640908,0.058815564,29.95683453,26.38762088,133,46.28925218,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
72,Assembly,S02,SGI_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.269407887,0.241672995,0.269407887,98.92259572,113.9775608,256,135.0305729,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
73,Assembly,S02,SGI_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.152534749,0.099342615,0.152534749,23.98123534,48.80144572,190,37.32449294,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
74,Assembly,S02,SGI_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.177184889,0.125224912,0.177184889,35.97185301,69.29154799,203,52.83365613,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
75,Assembly,S02,SGI_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.03215502,0.033441767,0.03215502,29.97654418,60.15772209,182,45.10711602,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
76,Assembly,S02,SGI_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.403727335,0.384243127,0.403727335,98.92253512,97.49854162,258,135.0406684,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
77,Assembly,S02,SGI_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.233882769,0.15630832,0.233882769,23.98122066,40.52597464,207,37.32522134,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
78,Assembly,S02,SGI_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.269737324,0.198207018,0.269737324,35.97183099,59.22841434,225,52.83514136,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
79,Assembly,S02,SGI_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.042606224,0.052767016,0.042606224,29.97652582,50.6485906,189,45.10819014,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
80,Assembly,S02,SGI_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.605096875,0.587620625,0.605096875,98.92241365,82.73843613,261,135.0609111,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
81,Assembly,S02,SGI_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.347264683,0.241604175,0.347264683,23.98119122,34.15183545,206,37.32668166,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
82,Assembly,S02,SGI_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.401154068,0.30608043,0.401154068,35.97178683,49.14729011,241,52.83811906,SGI,2023/07/26 2:43:05 PM MDT,S02,SGI,10,10,10,10,30,10,13.33333333
